network,post_type,date,time,content_url,caption
TikTok,video,2025-11-05,09:00,{{WK13_TT}},"You are more than how you sweat. You are how you stand."
Instagram,video,2025-11-07,11:00,{{WK13_IG}},"You are more than how you sweat. You are how you stand. #MoldedFortitudeConsulting"
Facebook,video,2025-11-07,11:00,{{WK13_FB}},"You are more than how you sweat. You are how you stand. Join us: [link]"
LinkedIn,video,2025-11-06,09:00,{{WK13_LI}},"Healing the Warrior Spirit blends trauma‑informed movement, cultural teachings, and disciplined practice."
TikTok,video,2025-11-12,09:00,{{WK14_TT}},"Feed your spirit: gratitude, journal, visualize."
Instagram,video,2025-11-14,11:00,{{WK14_IG}},"Feed your spirit: gratitude, journal, visualize. #MoldedFortitudeConsulting"
Facebook,video,2025-11-14,11:00,{{WK14_FB}},"Feed your spirit: gratitude, journal, visualize. Join us: [link]"
LinkedIn,video,2025-11-13,09:00,{{WK14_LI}},"Directors & leaders: outcomes—retention, resilience, real habit change."
TikTok,video,2025-11-19,09:00,{{WK15_TT}},"Turn pain into purpose. Mentor the next."
Instagram,video,2025-11-21,11:00,{{WK15_IG}},"Turn pain into purpose. Mentor the next. #MoldedFortitudeConsulting"
Facebook,video,2025-11-21,11:00,{{WK15_FB}},"Turn pain into purpose. Mentor the next. Join us: [link]"
LinkedIn,video,2025-11-20,09:00,{{WK15_LI}},"Healing the Warrior Spirit blends trauma‑informed movement, cultural teachings, and disciplined practice."
TikTok,video,2025-11-26,09:00,{{WK16_TT}},"This is your rebirth. Molded Fortitude for life."
Instagram,video,2025-11-28,11:00,{{WK16_IG}},"This is your rebirth. Molded Fortitude for life. #MoldedFortitudeConsulting"
Facebook,video,2025-11-28,11:00,{{WK16_FB}},"This is your rebirth. Molded Fortitude for life. Join us: [link]"
LinkedIn,video,2025-11-27,09:00,{{WK16_LI}},"Directors & leaders: outcomes—retention, resilience, real habit change."
TikTok,video,2025-12-03,09:00,{{WK17_TT}},"Beast of Mur: every cut a confession; every finish a rebirth."
Instagram,video,2025-12-05,11:00,{{WK17_IG}},"Beast of Mur: every cut a confession; every finish a rebirth. #MoldedFortitudeConsulting"
Facebook,video,2025-12-05,11:00,{{WK17_FB}},"Beast of Mur: every cut a confession; every finish a rebirth. Join us: [link]"
LinkedIn,video,2025-12-04,09:00,{{WK17_LI}},"Healing the Warrior Spirit blends trauma‑informed movement, cultural teachings, and disciplined practice."
TikTok,video,2025-12-10,09:00,{{WK18_TT}},"Not broken. Rebuilt daily by discipline."
Instagram,video,2025-12-12,11:00,{{WK18_IG}},"Not broken. Rebuilt daily by discipline. #MoldedFortitudeConsulting"
Facebook,video,2025-12-12,11:00,{{WK18_FB}},"Not broken. Rebuilt daily by discipline. Join us: [link]"
LinkedIn,video,2025-12-11,09:00,{{WK18_LI}},"Directors & leaders: outcomes—retention, resilience, real habit change."
TikTok,video,2025-12-17,09:00,{{WK19_TT}},"Roots are anchors. Medicine Wheel brought me home."
Instagram,video,2025-12-19,11:00,{{WK19_IG}},"Roots are anchors. Medicine Wheel brought me home. #MoldedFortitudeConsulting"
Facebook,video,2025-12-19,11:00,{{WK19_FB}},"Roots are anchors. Medicine Wheel brought me home. Join us: [link]"
LinkedIn,video,2025-12-18,09:00,{{WK19_LI}},"Healing the Warrior Spirit blends trauma‑informed movement, cultural teachings, and disciplined practice."
TikTok,video,2025-12-24,09:00,{{WK20_TT}},"Mentorship is medicine. Teach one thing today."
Instagram,video,2025-12-26,11:00,{{WK20_IG}},"Mentorship is medicine. Teach one thing today. #MoldedFortitudeConsulting"
Facebook,video,2025-12-26,11:00,{{WK20_FB}},"Mentorship is medicine. Teach one thing today. Join us: [link]"
LinkedIn,video,2025-12-25,09:00,{{WK20_LI}},"Directors & leaders: outcomes—retention, resilience, real habit change."
TikTok,video,2025-12-31,09:00,{{WK21_TT}},"Ritual beats motivation. Breath, mobility, micro‑reps."
Instagram,video,2026-01-02,11:00,{{WK21_IG}},"Ritual beats motivation. Breath, mobility, micro‑reps. #MoldedFortitudeConsulting"
Facebook,video,2026-01-02,11:00,{{WK21_FB}},"Ritual beats motivation. Breath, mobility, micro‑reps. Join us: [link]"
LinkedIn,video,2026-01-01,09:00,{{WK21_LI}},"Healing the Warrior Spirit blends trauma‑informed movement, cultural teachings, and disciplined practice."
TikTok,video,2026-01-07,09:00,{{WK22_TT}},"Pain taught me its language. I answered with action."
Instagram,video,2026-01-09,11:00,{{WK22_IG}},"Pain taught me its language. I answered with action. #MoldedFortitudeConsulting"
Facebook,video,2026-01-09,11:00,{{WK22_FB}},"Pain taught me its language. I answered with action. Join us: [link]"
LinkedIn,video,2026-01-08,09:00,{{WK22_LI}},"Directors & leaders: outcomes—retention, resilience, real habit change."
TikTok,video,2026-01-14,09:00,{{WK23_TT}},"Purpose is forged: heat, pressure, faith."
Instagram,video,2026-01-16,11:00,{{WK23_IG}},"Purpose is forged: heat, pressure, faith. #MoldedFortitudeConsulting"
Facebook,video,2026-01-16,11:00,{{WK23_FB}},"Purpose is forged: heat, pressure, faith. Join us: [link]"
LinkedIn,video,2026-01-15,09:00,{{WK23_LI}},"Healing the Warrior Spirit blends trauma‑informed movement, cultural teachings, and disciplined practice."
TikTok,video,2026-01-21,09:00,{{WK24_TT}},"Warrior’s mission: turn misfits into mentors."
Instagram,video,2026-01-23,11:00,{{WK24_IG}},"Warrior’s mission: turn misfits into mentors. #MoldedFortitudeConsulting"
Facebook,video,2026-01-23,11:00,{{WK24_FB}},"Warrior’s mission: turn misfits into mentors. Join us: [link]"
LinkedIn,video,2026-01-22,09:00,{{WK24_LI}},"Directors & leaders: outcomes—retention, resilience, real habit change."
